6.788,2.262,0.009,0.930,0.025,0.846,1.000,45121.100
5.829,2.221,0.008,0.983,0.039,0.822,1.000,44685.600
11.273,3.534,0.016,0.797,0.020,0.777,1.000,5.062
12.464,4.528,0.017,0.793,0.022,0.766,1.000,5.816
10.797,3.926,0.019,0.887,0.156,0.500,1.000,4.868
9.088,3.114,0.012,0.879,0.020,0.827,1.000,37.621
9.790,3.240,0.013,0.804,0.006,0.854,1.000,36.676
9.181,3.175,0.013,0.902,0.079,0.687,1.000,24.192
8.962,3.012,0.012,0.812,0.024,0.768,1.000,9.997
9.126,3.067,0.012,0.787,0.002,0.868,1.000,59.312
11.367,4.136,0.019,0.874,0.130,0.532,0.000,0.132
10.708,3.245,0.013,0.670,0.002,0.794,0.000,0.144
9.765,3.393,0.016,0.874,0.130,0.532,0.000,0.259
