6.465,2.899,0.032,0.413,0.185,0.254,1.000,1.763
6.208,2.440,0.026,0.221,0.016,0.334,1.000,16.736
6.441,2.432,0.027,0.209,0.012,0.335,1.000,14.327
6.022,2.369,0.027,0.299,0.062,0.319,1.000,8.608
6.149,2.385,0.026,0.222,0.014,0.342,1.000,3.821
6.196,2.406,0.026,0.221,0.014,0.341,1.000,19.735
6.611,2.912,0.033,0.430,0.210,0.243,1.000,0.083
6.968,2.522,0.029,0.187,0.004,0.330,0.000,0.086
6.332,2.570,0.030,0.383,0.152,0.267,0.000,0.166
